City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,vila franca do campo,37.7167,-25.4333,25.23,69,61,2.41,PT,1690395457
141,vilyuchinsk,52.9306,158.4028,13.15,85,85,1.24,RU,1690395166
142,dhidhdhoo,6.8833,73.1,28.19,76,91,2.52,MV,1690395020
143,mar del plata,-38.0023,-57.5575,13.38,79,75,8.23,AR,1690395457
144,isnos,1.9356,-76.2406,22.77,63,42,2.54,CO,1690395020
145,kattivakkam,13.2167,80.3167,28.37,81,100,6.25,IN,1690395020
146,minab,27.1467,57.0801,32.87,69,97,4.73,IR,1690395020
147,kodinsk,58.6881,99.1844,15.79,90,57,0.63,RU,1690395021
148,banyuwangi,-8.2325,114.3576,21.45,91,61,1.68,ID,1690395021
149,ilulissat,69.2167,-51.1,12.01,62,20,2.57,GL,1690395437
150,northam,51.0333,-4.2167,17.59,96,100,9.35,GB,1690395022
151,ribeira grande,38.5167,-28.7,25.22,73,20,5.81,PT,1690395422
152,goure,13.9835,10.2704,27.82,57,98,5.89,NE,1690395022
153,qusmuryn,52.4503,64.6311,19.52,76,13,0.47,KZ,1690395022
154,sanchursk,56.9413,47.2499,19.78,87,72,4.21,RU,1690395023
155,sweetwater,25.7634,-80.3731,33.33,84,100,4.12,US,1690394765
156,cockburn town,21.4612,-71.1419,28.67,80,53,9.04,TC,1690395458
157,fort bragg,35.139,-79.006,36.57,48,20,0.45,US,1690395419
158,klyuchi,52.2667,79.1667,21.51,41,87,2.13,RU,1690395386
159,susuman,62.7833,148.1667,11.09,87,100,2.3,RU,1690395435
160,bodo,67.28,14.405,19.02,71,0,1.54,NO,1690395254
161,belyy yar,53.6039,91.3903,13.94,94,14,3.0,RU,1690395024
162,copala,16.65,-98.9833,33.43,49,42,3.8,MX,1690395024
163,the pas,53.8251,-101.2541,15.01,82,100,6.17,CA,1690395460
164,san andres,12.5847,-81.7006,31.01,70,40,7.2,CO,1690395024
165,yellowknife,62.456,-114.3525,24.29,35,40,8.49,CA,1690395433
166,newman,37.3138,-121.0208,35.03,17,0,1.08,US,1690395460
167,bengkulu,-3.8004,102.2655,24.39,91,57,2.37,ID,1690395025
168,saipan,15.1355,145.701,27.58,100,75,6.69,MP,1690395425
169,tolanaro,-25.0319,46.9987,18.31,70,74,3.98,MG,1690395461
170,jabat,7.75,168.9751,27.07,81,87,3.46,MH,1690395025
171,shenjiamen,29.9576,122.298,26.17,88,99,4.43,CN,1690395461
172,hamilton,39.1834,-84.5333,33.95,64,20,8.23,US,1690395197
173,isafjordur,66.0755,-23.124,10.02,66,75,5.66,IS,1690395461
